"","Ret"
"2010-07-02",0.38299290626469
"2010-07-05",-0.798550036327317
"2010-07-06",1.90546428298282
"2010-07-07",0.484123571309336
"2010-07-08",-0.246762398316669
"2010-07-09",2.28304475000041
"2010-07-12",0.797922565151321
"2010-07-13",-1.63667211435961
"2010-07-14",0.819194013704383
"2010-07-15",-1.88517942218969
"2010-07-16",-0.00135953348490148
"2010-07-19",2.08795823721557
"2010-07-20",2.13063651887833
"2010-07-21",0.263225944019485
"2010-07-22",1.05975972173287
"2010-07-23",0.374805912804455
"2010-07-26",0.645457040263775
"2010-07-27",-0.515688727459285
"2010-07-28",2.23832800343242
"2010-07-29",0.547274580328949
"2010-07-30",-0.401582159807301
"2010-08-02",1.31877833830014
"2010-08-03",-1.71771389483419
"2010-08-04",0.437564752999453
"2010-08-05",-0.675566380305881
"2010-08-06",1.42582247162144
"2010-08-09",0.53048683376371
"2010-08-10",-2.93346371719849
"2010-08-11",0.469909046496841
"2010-08-12",-1.23567630358865
"2010-08-13",1.20510135588336
"2010-08-16",2.08829902675554
"2010-08-17",0.381920966301408
"2010-08-18",-0.209510667846846
"2010-08-19",0.809748363297214
"2010-08-20",-1.71372559430125
"2010-08-23",-0.111363137640197
"2010-08-24",0.413671465447241
"2010-08-25",-2.04802143797203
"2010-08-26",0.265415463575458
"2010-08-27",0.27850710768007
"2010-08-30",1.59299915217384
"2010-08-31",-0.524089498189895
"2010-09-01",-0.604980310911873
"2010-09-02",1.24631014300176
"2010-09-03",-0.0143786023142134
"2010-09-06",1.52688595972474
"2010-09-07",0.0783387832851368
"2010-09-08",-0.113912434946695
"2010-09-09",-1.45524100520218
"2010-09-10",0.257800850579759
"2010-09-13",0.938470783056378
"2010-09-14",0.00751017041435986
"2010-09-15",-1.34878940694207
"2010-09-16",-1.90445895001359
"2010-09-17",-0.145203300074748
"2010-09-20",-0.384627471540622
"2010-09-21",0.109537230698109
"2010-09-27",1.39543878529444
"2010-09-28",-0.634169677126017
"2010-09-29",-0.0258912624808261
"2010-09-30",1.7082493153036
"2010-10-08",3.08069403467828
"2010-10-11",2.45962139588096
"2010-10-12",1.22037485623379
"2010-10-13",0.699806942990211
"2010-10-14",0.636647728738016
"2010-10-15",3.12885269240848
"2010-10-18",-0.537693521745108
"2010-10-19",1.56542895355534
"2010-10-20",0.06986245641869
"2010-10-21",-0.682057066871877
"2010-10-22",-0.284934529251313
"2010-10-25",2.53479081973582
"2010-10-26",-0.324144820452865
"2010-10-27",-1.47371059936567
"2010-10-28",-0.149224473629594
"2010-10-29",-0.460332012668641
"2010-11-01",2.49268103001254
"2010-11-02",-0.281563502415771
"2010-11-03",-0.475479548113178
"2010-11-04",1.82913225159655
"2010-11-05",1.36923374287576
"2010-11-08",0.954526245242171
"2010-11-09",-0.778839949792065
"2010-11-10",-0.628575646389251
"2010-11-11",1.03425551139065
"2010-11-12",-5.29404881018909
"2010-11-15",0.965966191989764
"2010-11-16",-4.05796040441624
"2010-11-17",-1.94240593838444
"2010-11-18",0.932458723857366
"2010-11-19",0.80340864565871
"2010-11-22",-0.145327230474557
"2010-11-23",-1.96374307021268
"2010-11-24",1.11298053838498
"2010-11-25",1.33116379274236
"2010-11-26",-0.920740536726239
"2010-11-29",-0.186197013317368
"2010-11-30",-1.62404869585897
"2010-12-01",0.115814375961598
"2010-12-02",0.711411510345972
"2010-12-03",-0.0413997321701665
"2010-12-06",0.517477892045992
"2010-12-07",0.65180617568954
"2010-12-08",-0.954348403371252
"2010-12-09",-1.32865129940418
"2010-12-10",1.06480561933475
"2010-12-13",2.84245875954801
"2010-12-14",0.140949772004006
"2010-12-15",-0.536538590633739
"2010-12-16",-0.457045469457817
"2010-12-17",-0.151866109720267
"2010-12-20",-1.42067758283071
"2010-12-21",1.77856894471908
"2010-12-22",-0.906786582877661
"2010-12-23",-0.791193968158233
"2010-12-24",-0.705157928948097
"2010-12-27",-1.91421554086544
"2010-12-28",-1.755890878011
"2010-12-29",0.675982234491368
"2010-12-30",0.29205979661171
"2010-12-31",1.74232086444537
"2011-01-04",1.57477945891076
"2011-01-05",-0.47179677366227
"2011-01-06",-0.530561626493142
"2011-01-07",0.515770489620682
"2011-01-10",-1.66919865470936
"2011-01-11",0.437397104983894
"2011-01-12",0.613574652257576
"2011-01-13",0.226835391781854
"2011-01-14",-1.2944675555981
"2011-01-17",-3.08078281879807
"2011-01-18",0.0856442675637226
"2011-01-19",1.79691089992593
"2011-01-20",-2.96005931617422
"2011-01-21",1.39598861114214
"2011-01-24",-0.72352576549406
"2011-01-25",-0.680687366523625
"2011-01-26",1.16528045625586
"2011-01-27",1.4780849540748
"2011-01-28",0.130867466799689
"2011-01-31",1.36899313760965
"2011-02-01",0.295756229164557
"2011-02-09",-0.893417346227565
"2011-02-10",1.57715525444297
"2011-02-11",0.324676918428057
"2011-02-14",2.50800291437061
"2011-02-15",0.00355368769398012
"2011-02-16",0.846935220510403
"2011-02-17",0.104877410333337
"2011-02-18",-0.932673875144374
"2011-02-21",1.11297068123388
"2011-02-22",-2.65161124342512
"2011-02-23",0.248993093215599
"2011-02-24",0.55625835650952
"2011-02-25",-0.00132308107776424
"2011-02-28",0.915974172691936
"2011-03-01",0.476203081322435
"2011-03-02",-0.175280530314481
"2011-03-03",-0.372373687757488
"2011-03-04",1.34564804320867
"2011-03-07",1.81548733391539
"2011-03-08",0.124445042860266
"2011-03-09",0.0737128536208331
"2011-03-10",-1.5106426839389
"2011-03-11",-0.792650896013125
"2011-03-14",0.13049836950616
"2011-03-15",-1.41831922638591
